rank	score	title	company	source	location	salary	url	matched_terms	rationale
1	36.0	Research Engineer / Full-Stack Engineer / Infrastructure Engineer We are Nof1, an AI research lab applying AI to trading	Nof1	hackernews			https://news.ycombinator.com/item?id=48363998	research engineer, machine learning, aws, research, agentic, quantitative, alpha, trading, market, markets, financial, AI, quant, infrastructure, quant finance evidence	Matched research engineer, machine learning, aws, research, agentic, quantitative, alpha, trading
2	33.75	https://www.gresearch.com/ G-Research is a quantitative research and technology firm. We build the platforms, tools and 	G-Research	hackernews	London, UK		https://news.ycombinator.com/item?id=48443143	machine learning engineer, software engineer, machine learning, research, engineering, infrastructure, quant, quantitative, markets, financial, quant finance evidence	Matched machine learning engineer, software engineer, machine learning, research, engineering, infrastructure, quant, quantitative
3	32.5	AI, Fullstack, Frontend, Platform, Data, Product Engineers + GTM, Design, Operations	Factory AI	hackernews	Francisco, CA		https://news.ycombinator.com/item?id=48364864	research engineer, llm, agents, aws, research, node, agentic, engineering, market, AI, infrastructure, quant finance evidence	Matched research engineer, llm, agents, aws, research, node, agentic, engineering
4	26.5	Full-Stack Software Engineer	PrairieLearn (Remote US)	hackernews			https://news.ycombinator.com/item?id=48359483	software engineer, llm, agents, aws, node, options, AI, quant finance evidence	Matched software engineer, llm, agents, aws, node, options, AI, quant finance evidence
5	24.0	Product Engineer / Senior Software Engineer ( https://job-boards.greenhouse.io/kinelo/jobs/4205846009 ) -- do you have t	Kinelo	hackernews			https://news.ycombinator.com/item?id=48360824	software engineer, llm, agents, engineering, context, market, AI, quant finance evidence	Matched software engineer, llm, agents, engineering, context, market, AI, quant finance evidence
6	22.0	https://subtlemedical.com/ Subtle Medical is a global leader in AI-powered medical imaging, using deep learning to enabl	Subtle Medical	hackernews			https://news.ycombinator.com/item?id=48359673	software engineer, machine learning, deep learning, research, portfolio, AI, quant finance evidence	Matched software engineer, machine learning, deep learning, research, portfolio, AI, quant finance evidence
7	21.75	Several of our critical founding hires came through this forum, and we currently have 3 open roles! Olli Health Built by	Olli Health	hackernews			https://news.ycombinator.com/item?id=48357792	software engineer, llm, agents, aws, focus, python, AI, startup	Matched software engineer, llm, agents, aws, focus, python, AI, startup
8	21.5	Lead AI Engineer + Agent Builder + Platform Engineer	Catalyst·Wayfare AI	hackernews			https://news.ycombinator.com/item?id=48385146	llm, agents, agentic, engineering, system, market, finance, AI, infrastructure, quant finance evidence	Matched llm, agents, agentic, engineering, system, market, finance, AI
9	21.5	Machine Learning Engineer – Quantitative Research & AI Systems	Mondrian Alpha	jobspy:linkedin			https://www.linkedin.com/jobs/view/4421964469	machine learning engineer, machine learning, research, quantitative, alpha, AI, quant, quant finance evidence	Matched machine learning engineer, machine learning, research, quantitative, alpha, AI, quant, quant finance evidence
10	20.75	Backend Software Engineer, AI Researcher	MindFort AI (YC X25)	hackernews	Engineer, AI		https://news.ycombinator.com/item?id=48386662	software engineer, llm, agents, research, python, backend, AI	Matched software engineer, llm, agents, research, python, backend, AI
11	20.75	Machine Learning Research Scientist, Post-Training	Scale AI	jobspy:linkedin	Seattle, WA		https://www.linkedin.com/jobs/view/4292974499	research scientist, post-training, machine learning, research, AI	Matched research scientist, post-training, machine learning, research, AI
12	20.5	Senior ML Infrastructure Engineer	Prior Labs	hackernews	Engineer, ML		https://news.ycombinator.com/item?id=48360453	research scientist, deep learning, research, tabular data, llms, infrastructure, financial, AI, quant finance evidence	Matched research scientist, deep learning, research, tabular data, llms, infrastructure, financial, AI
13	20.25	Machine Learning Research Scientist (Quant Finance)	Stabile Search	jobspy:linkedin			https://www.linkedin.com/jobs/view/4425506025	research scientist, machine learning, research, quant, finance, quant finance evidence	Matched research scientist, machine learning, research, quant, finance, quant finance evidence
