rank	score	title	company	source	location	salary	url	apply_url	matched_terms	rationale	outreach_message
1	14.5	Senior Machine Learning Engineer, AWS Identity Analytics Platform	Amazon Development Center U.S., Inc.	company:amazon	Seattle, Washington, USA		https://www.amazon.jobs/en/jobs/10390508/senior-machine-learning-engineer-aws-identity-analytics-platform	https://account.amazon.com/jobs/10390508/apply	machine learning engineer, agents, llm, machine learning, optimization, deep learning, security, aging posting	Matched machine learning engineer, agents, llm, machine learning, optimization, deep learning, security, aging posting	Hi Amazon Development Center U.S team, I'm Zhikai Chen, a Research Scientist. My recent work on agents, llm and machine learning lines up closely with your Senior Machine Learning Engineer, AWS Identity Analytics Platform opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
2	14.0	Research Scientist, Private Brands Intelligence - SCIT Science	Amazon.com Services LLC	company:amazon	San Diego, California, USA		https://www.amazon.jobs/en/jobs/10436637/research-scientist-private-brands-intelligence-scit-science	https://account.amazon.jobs/jobs/10436637/apply	research scientist, machine learning, research, optimization, deep learning, python	Matched research scientist, machine learning, research, optimization, deep learning, python	Hi Amazon.com Services team, I'm Zhikai Chen, a Research Scientist. My recent work on machine learning, research and optimization lines up closely with your Research Scientist, Private Brands Intelligence - SCIT Science opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
3	13.0	Senior Software Engineer, AWS Commercial Application Services	Amazon Development Center U.S., Inc.	company:amazon	Seattle, Washington, USA		https://www.amazon.jobs/en/jobs/10438670/senior-software-engineer-aws-commercial-application-services	https://account.amazon.jobs/jobs/10438670/apply	software engineer, agentic, agents, llm, research, security	Matched software engineer, agentic, agents, llm, research, security	Hi Amazon Development Center U.S team, I'm Zhikai Chen, a Research Scientist. My recent work on agentic, agents and llm lines up closely with your Senior Software Engineer, AWS Commercial Application Services opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
4	13.0	Sr. Machine Learning Engineer, AWS Applied AI Solution	Amazon.com Services LLC	company:amazon	Seattle, Washington, USA		https://www.amazon.jobs/en/jobs/3158229/sr-machine-learning-engineer-aws-applied-ai-solution	https://account.amazon.com/jobs/3158229/apply	machine learning engineer, agentic, llm, machine learning, research, optimization, python, stale posting	Matched machine learning engineer, agentic, llm, machine learning, research, optimization, python, stale posting	Hi Amazon.com Services team, I'm Zhikai Chen, a Research Scientist. My recent work on agentic, llm and machine learning lines up closely with your Sr. Machine Learning Engineer, AWS Applied AI Solution   opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
5	12.5	Senior Machine Learning Engineer, GenAIUX	Amazon Development Center U.S., Inc.	company:amazon	East Palo Alto, California, USA		https://www.amazon.jobs/en/jobs/10390448/senior-machine-learning-engineer-genaiux	https://account.amazon.com/jobs/10390448/apply	machine learning engineer, agentic, agents, machine learning, backend, frontend, aging posting	Matched machine learning engineer, agentic, agents, machine learning, backend, frontend, aging posting	Hi Amazon Development Center U.S team, I'm Zhikai Chen, a Research Scientist. My recent work on agentic, agents and machine learning lines up closely with your Senior Machine Learning Engineer, GenAIUX  opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
6	12.5	Machine Learning Engineer, Alexa AI	Amazon.com Services LLC	company:amazon	Boston, Massachusetts, USA		https://www.amazon.jobs/en/jobs/10381642/machine-learning-engineer-alexa-ai	https://account.amazon.com/jobs/10381642/apply	machine learning engineer, ml engineer, llm, machine learning, research, llm inference, stale posting	Matched machine learning engineer, ml engineer, llm, machine learning, research, llm inference, stale posting	Hi Amazon.com Services team, I'm Zhikai Chen, a Research Scientist. My recent work on llm, machine learning and research lines up closely with your Machine Learning Engineer, Alexa AI opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
7	12.0	Research Scientist II - AMZ9698004	Amazon Web Services, Inc.	company:amazon	Seattle, Washington, USA		https://www.amazon.jobs/en/jobs/10384143/research-scientist-ii-amz9698004	https://account.amazon.com/jobs/10384143/apply	research scientist, software engineer, machine learning, research, optimization, python, stale posting	Matched research scientist, software engineer, machine learning, research, optimization, python, stale posting	Hi Amazon Web Services team, I'm Zhikai Chen, a Research Scientist. My recent work on machine learning, research and optimization lines up closely with your Research Scientist II - AMZ9698004 opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
8	12.0	Research Scientist, Last Mile	Amazon.com Services LLC	company:amazon	Bellevue, Washington, USA		https://www.amazon.jobs/en/jobs/10427376/research-scientist-last-mile	https://account.amazon.jobs/jobs/10427376/apply	research scientist, machine learning, research, optimization, python	Matched research scientist, machine learning, research, optimization, python	Hi Amazon.com Services team, I'm Zhikai Chen, a Research Scientist. My recent work on machine learning, research and optimization lines up closely with your Research Scientist, Last Mile opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
9	12.0	Machine Learning Engineer, AWS Neuron Inference, Annapurna ML	Annapurna Labs (U.S.) Inc.	company:amazon	Seattle, Washington, USA		https://www.amazon.jobs/en/jobs/3147714/machine-learning-engineer-aws-neuron-inference-annapurna-ml	https://account.amazon.com/jobs/3147714/apply	machine learning engineer, software engineer, llm, machine learning, llm inference, python, stale posting	Matched machine learning engineer, software engineer, llm, machine learning, llm inference, python, stale posting	Hi Annapurna Labs (U.S.) team, I'm Zhikai Chen, a Research Scientist. My recent work on llm, machine learning and llm inference lines up closely with your Machine Learning Engineer, AWS Neuron Inference, Annapurna ML opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
10	10.5	Research Scientist, WWGS Real Estate & Store Development	Amazon.com Services LLC	company:amazon	Seattle, Washington, USA		https://www.amazon.jobs/en/jobs/10407968/research-scientist-wwgs-real-estate-store-development	https://account.amazon.jobs/jobs/10407968/apply	research scientist, machine learning, research, optimization, python, aging posting	Matched research scientist, machine learning, research, optimization, python, aging posting	Hi Amazon.com Services team, I'm Zhikai Chen, a Research Scientist. My recent work on machine learning, research and optimization lines up closely with your Research Scientist, WWGS Real Estate & Store Development opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
